id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53006022,Hidden Getaway Family House |UW |Children Hops.,238425582,Allen 阿兰,Other neighborhoods,Bryant,47.66522,-122.2865,Entire home/apt,151,1,36,12/9/2022,2.56,9,167,31,STR-OPLI-22-001505
53009988,30+ Day Designer Furnished 1BR w/Flex Office,385520586,Sentral First Hill,Downtown,First Hill,47.60959,-122.32529,Entire home/apt,100,30,5,11/12/2022,0.45,2,356,5,
53253971,Your own Cottage on Queen Anne,430547728,Louis,Queen Anne,West Queen Anne,47.6373,-122.36542,Entire home/apt,99,30,1,1/31/2022,0.09,1,0,1,
53464012,Trendy suite in cozy craftsman house!,29666316,Mish,Other neighborhoods,Crown Hill,47.6916,-122.37003,Entire home/apt,74,2,72,12/13/2022,6.07,11,195,72,STR-OPLI-21-001233
53465687,Historic Seattle Charmer! Mini Madison Park Manor,361877040,Claire,Capitol Hill,Madison Park,47.63149,-122.28372,Entire home/apt,185,2,30,12/4/2022,2.34,1,0,29,STR-OPLI-21-001174
53011858,Cozy shared space in Capital Hill!,84600516,Yasmeen,Capitol Hill,Stevens,47.61808,-122.3072,Shared room,70,30,0,,,1,365,0,
53474274,Unbeatable Magnolia Suite In the Heart of it all!,431425306,David,Magnolia,Lawton Park,47.65003,-122.38539,Entire home/apt,86,1,42,12/9/2022,3.28,1,270,41,STR-OPLI-21-001246
53256499,1 bedroom APT East of West Seattle,423765042,Vone,Delridge,South Delridge,47.52451,-122.35919,Entire home/apt,75,1,60,11/29/2022,4.99,1,163,60,STR-OPLI-21-001189
53484051,Central & spacious U-District studio quiet & clean,412622282,Jordan,Other neighborhoods,Wallingford,47.66249,-122.32455,Entire home/apt,156,1,22,11/13/2022,1.76,1,363,21,STR-OPLI-21-001299
53484133,"Centrally located, 3BDR-2.5 BATH Seattle Town-home",139011270,Lakshmi,Rainier Valley,Mount Baker,47.57272,-122.29341,Entire home/apt,143,3,4,8/7/2022,0.33,1,10,4,STR-OPLI-21-001253
53487433,Charming craftsman 3-bedroom home,1750768,Sue,Rainier Valley,Mount Baker,47.57748,-122.29079,Entire home/apt,175,30,4,9/11/2022,0.56,1,78,4,STR-OPLI-21-001271
53488506,"S. Lake Union 2BR w/ Gym, W/D, Space Needle view",107434423,Blueground,Cascade,South Lake Union,47.623719,-122.3359958,Entire home/apt,132,31,0,,,410,365,0,
53488565,"Mt. Baker 1BR w/ Gym & Rooftop, next to light rail",107434423,Blueground,Beacon Hill,North Beacon Hill,47.5794979,-122.3005749,Entire home/apt,120,31,0,,,410,347,0,
53488641,"SLU 3BR w/ Game Room & Gym, nr Space Needle",107434423,Blueground,Cascade,South Lake Union,47.6222711,-122.3308609,Entire home/apt,294,31,0,,,410,239,0,
53488659,"Mt Baker 2BR w/ 24 hr Gym & W/D, nr light rail",107434423,Blueground,Beacon Hill,North Beacon Hill,47.5794979,-122.3005749,Entire home/apt,184,31,0,,,410,325,0,
53012265,NEW! WorkLivePlay 4BR FastWifi | Sophari |Sleeps12,314324381,Sophari,Central Area,Atlantic,47.58644,-122.30238,Entire home/apt,167,1,17,11/17/2022,1.33,30,348,16,STR-OPLI-21-000902
53013113,Spacious Urban Condo Steps from Stadium,48416955,Jessica,Downtown,Pioneer Square,47.59769,-122.33344,Entire home/apt,102,2,82,11/13/2022,5.91,4,13,75,STR-OPLI-19-000190
53015126,Great gathering spot in Queen Ann,429183738,Daniel,Queen Anne,North Queen Anne,47.647995,-122.3562241,Entire home/apt,390,2,20,10/22/2022,1.53,1,356,19,STR-OPLI-19-003273
53024399,"Downtown Studio w/ Gym, Roof, nr Pike St Mkt",107434423,Blueground,Downtown,Pike-Market,47.6077956,-122.3402806,Entire home/apt,119,31,0,,,410,299,0,
53507513,"First Hill 1BR w/ Gym & Lounge, nr light rail",107434423,Blueground,Central Area,Minor,47.6082014,-122.3119489,Entire home/apt,136,31,0,,,410,325,0,
53507580,"SLU 2BR w/ W/D, Club Room & Gym, nr Space Needle",107434423,Blueground,Cascade,South Lake Union,47.62258,-122.33548,Entire home/apt,118,31,0,,,410,365,0,
53257837,Gorgeous Home with Ocean and Mountain Views!,33236866,Jonathon,Other neighborhoods,North Beach/Blue Ridge,47.70473,-122.38286,Entire home/apt,315,3,7,11/27/2022,0.53,1,23,6,STR-OPLI-21-000660
53507662,"SLU 1BR w/ W/D, Club Room & Gym, nr Space Needle",107434423,Blueground,Cascade,South Lake Union,47.62258,-122.33548,Entire home/apt,145,31,1,5/1/2022,0.13,410,285,1,
53507807,"SLU 1BR w/ W/D, Club Room & Gym, nr Space Needle",107434423,Blueground,Cascade,South Lake Union,47.62258,-122.33548,Entire home/apt,156,31,0,,,410,264,0,
53511339,Huge Luxury Guest Suite in Greenwood,106976765,Julian,Other neighborhoods,Greenwood,47.68817,-122.35289,Entire home/apt,89,2,26,12/18/2022,4.64,1,82,26,STR-OPLI-22-001123
53024480,"Downtown 1BR w/ Gym, Roof, nr Pike St Mkt",107434423,Blueground,Downtown,Pike-Market,47.6077956,-122.3402806,Entire home/apt,147,31,1,3/8/2022,0.1,410,196,1,
53026652,Modern Queen Anne Guest Unit w/AC- Maple Grove,35235304,Yang,Queen Anne,North Queen Anne,47.6467,-122.35986,Entire home/apt,118,2,53,12/17/2022,3.79,1,53,46,STR-OPLI-21-001014
53029773,"In the Heart of West Seattle, 2-bedroom Townhouse",147197033,Ashley,West Seattle,Seaview,47.55241,-122.38807,Entire home/apt,255,3,15,11/15/2022,1.22,1,238,14,STR-OPLI-21-001113
53263324,Charlestown House - West Seattle Getaway,207773925,Lisa,West Seattle,North Admiral,47.57116,-122.37173,Entire home/apt,81,1,62,12/10/2022,4.66,7,172,56,STR-OPLI-21-001072
53049664,"Large bedroom, with parking & major bus lines",10903708,Jesse And Dot,Northgate,North College Park,47.70407,-122.3445,Private room,45,2,81,11/12/2022,5.88,2,0,72,STR-OPLI-21-000900
53515507,"Ground-floor property with deck, WiFi, and ideal location next to Woodland Park",104834083,Vacasa Washington,Other neighborhoods,Phinney Ridge,47.671,-122.3502,Entire home/apt,240,3,1,9/12/2022,0.29,49,364,1,STR-OPLI-21-001074
53264661,MidMod Style + Super Walkable + Heart of Fremont,425060306,Joanne,Other neighborhoods,Fremont,47.652481,-122.345482,Entire home/apt,161,3,37,12/6/2022,2.89,1,293,36,STR-OPLI-21-001294
53516336,Adorable 1-bedroom guesthouse with hot tub,5127387,Matt,Beacon Hill,North Beacon Hill,47.59125,-122.31554,Entire home/apt,73,2,1,12/7/2022,1,1,0,1,STR-OPLI-22-000251
53526366,Cozy West Seattle Home,370998684,Mary,West Seattle,Fauntleroy,47.52143,-122.38108,Entire home/apt,227,2,23,12/13/2022,3.11,1,228,23,STR-OPLI-22-000585
53542391,"Sunny private suite with full bath, garden-all new",2085820,Beverly,Beacon Hill,North Beacon Hill,47.56627,-122.3128,Private room,70,30,3,11/1/2022,0.39,3,107,3,
53545190,Renovated 3BD Home w/ King bed in West Seattle,419386771,Recreation,West Seattle,Fauntleroy,47.5226994,-122.379645,Entire home/apt,302,1,28,11/28/2022,2.31,1,262,28,STR-OPLI-21-001262
53061077,NEW! Sunny Seattle Home w/ Deck ~ 6 Mi to Downtown,121688409,Evolve,Other neighborhoods,Roosevelt,47.68399,-122.30962,Entire home/apt,284,2,12,12/11/2022,0.99,34,261,12,STR-OPLI-21-001007
53690611,"Modern townhome, king bed, Seattle UW/Children's",434847038,Ana Lea,Other neighborhoods,Windermere,47.672634,-122.26693,Entire home/apt,205,2,39,11/26/2022,3.15,1,257,37,STR-OPLI-21-001350
53696561,"Belltown 1BR w/ Gym & Lounge, nr Waterfront",107434423,Blueground,Downtown,Belltown,47.614418,-122.341721,Entire home/apt,153,31,0,,,410,351,0,
53707413,BEAUTIFUL & STYLISH 2BED2BATH HOME IN MAPLE LEAF!!,77347820,Adriana C.,Northgate,Maple Leaf,47.69141,-122.30801,Entire home/apt,285,3,10,9/3/2022,0.8,5,0,9,STR-OPLI-21-000216
53549073,Chic & modern  2 bedroom townhome with rooftop,58642800,Lisa,Northgate,North College Park,47.69244,-122.34207,Entire home/apt,200,3,3,11/17/2022,0.57,1,29,3,STR-OPLI-22-001520
53558257,Mind Palace - a minimalist audiophile oasis,92165936,Dan,Capitol Hill,Stevens,47.62748,-122.30796,Entire home/apt,149,2,36,12/11/2022,3.35,1,78,36,STR-OPLI-21-001382
53268605,"Columbia City 1BR w/ W/D & Gym, nr light rail",107434423,Blueground,Rainier Valley,Columbia City,47.55979,-122.29122,Entire home/apt,196,31,0,,,410,0,0,
53559731,Contemporary view house steps to Lake Washington,316012822,Andrea,Rainier Valley,Mount Baker,47.5907,-122.28971,Entire home/apt,145,30,2,7/31/2022,0.18,2,127,2,
53576187,"Quiet Condo Just off Market St, Awesome Location",310761349,Dev,Ballard,Adams,47.66921,-122.38018,Entire home/apt,65,30,4,9/24/2022,0.54,9,20,4,
53717282,Spacious Cute Studio- Heart of Ballard/Seattle,109645574,Jay,Ballard,Adams,47.66705,-122.37777,Entire home/apt,116,1,102,12/15/2022,8.52,3,86,102,STR-OPLI-20-000329
53268660,"SLU 2BR w/ Game Room & Gym, nr Space Needle",107434423,Blueground,Cascade,South Lake Union,47.6222711,-122.3308609,Entire home/apt,125,31,0,,,410,365,0,
53729372,Minutes to downtown Rainier View Wallingford (202),3074414,Melissa,Other neighborhoods,Fremont,47.65498,-122.34723,Entire home/apt,149,1,15,11/13/2022,1.24,119,365,15,STR-OPLI-20-000157
53583823,CLEAN and Cozy Suite in Ravenna!,432185937,Daniel,Other neighborhoods,Ravenna,47.66899,-122.29621,Entire home/apt,150,1,35,11/26/2022,2.93,1,292,35,STR-OPLI-21-001315
53268780,"SLU Studio w/ Game Room & Gym, nr Space Needle",107434423,Blueground,Cascade,South Lake Union,47.6222711,-122.3308609,Entire home/apt,135,31,1,8/20/2022,0.24,410,181,1,
53735092,"3mins to Light Rail, PetFriendly, w/ internet & AC",398317720,Joanne,Beacon Hill,South Beacon Hill,47.52653,-122.28131,Entire home/apt,201,1,48,11/5/2022,3.82,46,79,46,STR-OPLI-21-001210
53268785,"SLU Studio w/ Game Room & Gym, nr Space Needle",107434423,Blueground,Cascade,South Lake Union,47.6222711,-122.3308609,Entire home/apt,141,31,0,,,410,303,0,
53740692,Classic North Capitol Hill Craftsman Home,37257444,Javier,Capitol Hill,Montlake,47.63835,-122.31795,Entire home/apt,350,5,2,11/27/2022,0.17,2,129,2,STR-OPLI-19-003278
53585195,Laurie's Garden Suite,32169894,Laurie,Other neighborhoods,View Ridge,47.67715,-122.26871,Private room,90,30,24,11/30/2022,1.89,2,336,22,STR-OPLI-21-000998
53268931,"Mt Baker 1BR w/ 24 hr Gym & W/D, nr light rail",107434423,Blueground,Beacon Hill,North Beacon Hill,47.5794979,-122.3005749,Entire home/apt,144,31,1,7/1/2022,0.17,410,341,1,
53269054,"SLU 1BR w/ W/D, Club Room & Gym, nr Space Needle",107434423,Blueground,Cascade,South Lake Union,47.62258,-122.33548,Entire home/apt,137,31,0,,,410,325,0,
53749431,"E. Lake Studio w/ Pool & Gym, nr Space Needle",107434423,Blueground,Cascade,South Lake Union,47.63189,-122.32583,Entire home/apt,146,31,0,,,410,258,0,
53272402,Sonder The Boylston |  Accessible Queen Room,219526255,Sonder (Seattle),Downtown,First Hill,47.61355,-122.32276,Private room,150,30,11,11/7/2022,0.84,18,200,9,Exempt
53749519,"Belltown 1BR w/ Gym & Lounge, nr Waterfront",107434423,Blueground,Downtown,Belltown,47.614418,-122.341721,Entire home/apt,160,31,1,11/30/2022,1,410,342,1,
53756694,Large 3-Bedroom Craftsman w/ Wi-Fi + Kitchen,92742089,Crystal,Central Area,Atlantic,47.59244,-122.29957,Entire home/apt,230,1,80,11/29/2022,6.45,10,29,78,STR-OPLI-20-001240
53759600,"Walkers Paradise, PetFriendly w/ Dedicated Parking",398317720,Joanne,Cascade,Westlake,47.63061,-122.3432,Entire home/apt,200,1,70,12/18/2022,5.56,46,163,67,STR-OPLI-21-001343
53760614,"Beautiful 5bdr, train access to stadiums & airport",435418838,Ribika,Beacon Hill,South Beacon Hill,47.52348,-122.28197,Entire home/apt,260,3,37,11/29/2022,3.05,1,167,37,STR-OPLI-21-001017
53770284,3 Bed Modern Townhome w/ city rooftop views,38189524,Chris And Laura,Central Area,Minor,47.60374,-122.3158,Entire home/apt,321,3,51,11/29/2022,4.65,1,166,51,STR-OPLI-21-001356
53772257,Cozy Private bedroom at the heart of Seattle,3850986,Ryan,Central Area,Atlantic,47.60119,-122.31413,Private room,81,3,98,12/21/2022,9.97,1,82,98,STR-OPLI-19-002745
53785266,1-Bedroom Apartment Minutes from Downtown Seattle,97052825,Shawn,Northgate,Maple Leaf,47.69249,-122.30678,Entire home/apt,99,1,43,10/16/2022,3.52,2,364,43,STR-OPLI-21-001384
53786724,"Comfy stay in private suite,  Greenlake Roosevelt",79734048,Kathleen,Other neighborhoods,Green Lake,47.675079,-122.322548,Entire home/apt,99,7,4,10/31/2022,0.52,2,97,4,STR-OPLI-21-001349
53793013,"Discounted Dec. rate $159/night 3brs, 2bath home.",435719143,Truc,Other neighborhoods,Green Lake,47.68241,-122.32724,Entire home/apt,158,2,5,11/27/2022,0.43,1,67,5,STR-OPLI-21-001360
53795269,"Stylish&cozy home w/rooftop, space-needle view!",398317720,Joanne,Capitol Hill,Broadway,47.62097,-122.31503,Entire home/apt,170,1,100,12/20/2022,8.06,46,61,97,STR-OPLI-21-001305
53798999,Modern Luxe Apt. in Downtown Seattle,339414830,Campbell | Skye,Cascade,South Lake Union,47.619,-122.33842,Entire home/apt,220,30,4,10/21/2022,0.56,2,357,4,
53799101,"Bright home w beautiful views, kitchen, hammock!",807116,Rae,Queen Anne,West Queen Anne,47.63315,-122.36951,Entire home/apt,145,5,11,8/14/2022,0.88,1,0,9,STR-OPLI-21-001079
53816253,"10 mins walk from Seattle U, New & Modern w/ AC",398317720,Joanne,Central Area,Minor,47.61115,-122.30963,Entire home/apt,176,1,63,11/27/2022,5.19,46,8,63,STR-OPLI-22-001825
53594378,Gorgeous 1 BR Suite in a New House Free Parking,19484972,Isabell,Other neighborhoods,Greenwood,47.69894,-122.34871,Entire home/apt,95,2,8,12/6/2022,0.64,2,41,6,STR-OPLI-21-001355
53594664,Stylish Downtown Condo w/ view balcony & parking,148939282,Susannah,Downtown,Belltown,47.61481,-122.34914,Entire home/apt,146,2,55,12/8/2022,4.38,2,154,53,STR-OPLI-21-000892
53594720,"2b w/ views: quiet, on bus line, free parking",12178570,Mike,Other neighborhoods,Broadview,47.7231,-122.36716,Entire home/apt,170,3,11,9/12/2022,0.91,1,81,11,STR-OPLI-20-000281
53596025,Garden Terrace Bedroom and Private En-Suite Bath,23316438,Justin,Capitol Hill,Montlake,47.63689,-122.32067,Entire home/apt,77,1,114,12/23/2022,9.53,2,336,114,STR-OPLI-21-000771
53603347,Sunny 1 bedroom in Ballard,24117176,Shoshana,Ballard,Whittier Heights,47.67629,-122.36639,Entire home/apt,79,1,22,11/26/2022,4.15,1,14,22,STR-OPLI-22-001191
53816437,"Relaxing, Cozy Private Suite in Amazing Location!",433937708,Skye,Central Area,Mann,47.6144,-122.29656,Entire home/apt,65,1,38,12/19/2022,3.21,1,300,38,STR-OPLI-21-001380
53819403,UNIQUE! The Ritz Belltown: Funky Nouveau Studio,385021064,Justin,Downtown,Belltown,47.61469,-122.34245,Entire home/apt,148,30,51,10/16/2022,5.08,3,164,51,STR-OPLI-22-001668
53272862,Sonder The Boylston | Accessible Full Room,219526255,Sonder (Seattle),Downtown,First Hill,47.61369,-122.32333,Private room,143,30,3,8/26/2022,0.57,18,204,3,Exempt
53272938,Sonder The Boylston | Full Room,219526255,Sonder (Seattle),Downtown,First Hill,47.61396,-122.32279,Private room,100,30,10,12/2/2022,0.8,18,197,9,Exempt
53828502,"7th-Floor Condo in Amazing Location w/City Views, Washer/Dryer, Shared Roof Deck",104834083,Vacasa Washington,Downtown,First Hill,47.61298,-122.32925,Entire home/apt,147,3,17,12/6/2022,1.63,49,358,17,STR-OPLI-21-001307
53614378,Venetian Room - Cecil Bacon Manor,431747142,Cecil Bacon Manor,Capitol Hill,Broadway,47.62813,-122.3226,Private room,239,1,2,7/22/2022,0.19,8,0,2,STR-BB-OPLI-21-000005
53614957,Clipper Room - Cecil Bacon Manor,431747142,Cecil Bacon Manor,Capitol Hill,Broadway,47.62768,-122.32265,Private room,239,1,0,,,8,0,0,STR-BB-OPLI-21-000005
53828562,One bedroom private guest suite in Greenlake,79734048,Kathleen,Other neighborhoods,Green Lake,47.67646,-122.32242,Entire home/apt,140,7,10,11/29/2022,0.95,2,32,10,STR-OPLI-21-001349
53275900,Cozy Getaway Yard House w/ BBQ |UW |Children Hops.,400489936,Allen 阿兰,Other neighborhoods,Bryant,47.66456,-122.2846,Entire home/apt,115,1,53,12/8/2022,3.98,7,84,47,STR-OPLI-22-001505
53830637,"Charming Vintage Home, Perfect for remote work",267655311,Guy,Other neighborhoods,South Park,47.52585,-122.3257,Entire home/apt,101,2,3,1/5/2022,0.25,2,7,3,STR-OPLI-19-002521
